rank,service_number,first_name,last_name,date_of_award,country,aircraft_type,flight_hours,flight_missions,flight_awards
Lieutenant,8729492,Mignonne,Lovatt,6/29/2022,Colombia,F-22,4911,406,Air Force Commendation Medal
Lieutenant,7464745,Dorothea,Sclanders,10/11/2022,Ukraine,F-35,7154,164,Air Force Commendation Medal
General,9631958,Tanny,Birchall,2/26/2023,Colombia,F-35,2660,699,Air Force Achievement Medal
Sergeant,4890788,Thane,Valentin,3/14/2023,Indonesia,F-16,2940,428,Distinguished Flying Cross
Lieutenant,2022847,Mildred,Dacks,1/8/2023,Russia,F-35,8930,858,Distinguished Flying Cross
General,1646494,Dorothy,Bierling,9/11/2022,Brazil,F-18,9375,25,Distinguished Flying Cross
Private,3581697,Brocky,Phair,12/24/2022,China,F-22,3696,467,Air Force Achievement Medal
Major,4158618,Johnny,Flegg,12/7/2022,Indonesia,F-16,9385,935,Air Medal
Lieutenant,3803892,Ivy,Pinkard,7/17/2022,Indonesia,F-22,8120,279,Distinguished Flying Cross
Captain,4524121,Towny,Basnett,10/13/2022,South Africa,F-35,7956,791,Air Force Achievement Medal
General,7571133,Dani,Van Bruggen,4/9/2023,China,F-35,7999,155,Air Force Commendation Medal
General,3117713,Sharyl,Wrout,7/17/2022,Poland,F-35,7105,266,Air Force Commendation Medal
General,5190970,Rad,Adamo,12/22/2022,Russia,A-10,1875,805,Air Medal
General,4966900,Jorgan,Annakin,8/4/2022,China,F-18,2063,287,Air Force Achievement Medal
Private,6043821,Leighton,Meriot,3/5/2023,Philippines,F-22,2278,63,Air Force Achievement Medal
Captain,4316189,Rhodie,Agnew,10/8/2022,Indonesia,F-18,8185,548,Air Medal
Colonel,2245852,Carleen,Redwing,3/27/2023,Japan,F-22,264,121,Distinguished Flying Cross
Major,7603389,Mic,Greenhead,1/12/2023,Philippines,F-35,6656,588,Distinguished Flying Cross
Corporal,9481792,Dawn,Eilhermann,9/14/2022,Vietnam,F-18,9440,469,Air Force Achievement Medal
General,6058187,Hildagard,Clear,3/15/2023,Brazil,F-18,5144,457,Air Medal
Captain,6519768,Garfield,Ching,3/26/2023,Germany,F-35,1727,813,Air Force Achievement Medal
Captain,5217793,Kort,Messier,9/5/2022,Russia,F-16,1425,755,Air Force Commendation Medal
Corporal,7367209,Leodora,Cassedy,6/27/2022,Kazakhstan,F-22,9727,123,Air Force Commendation Medal
Corporal,3985743,Melissa,Baulcombe,2/15/2023,Philippines,F-18,7462,660,Distinguished Flying Cross
Colonel,3216149,Lilah,Tetsall,8/25/2022,Indonesia,F-16,5397,810,Distinguished Flying Cross
Colonel,5228187,Sonja,Casswell,8/10/2022,Albania,F-16,3976,267,Air Force Commendation Medal
Colonel,7711848,Alic,Christopher,2/27/2023,China,F-22,6010,326,Air Force Achievement Medal
Sergeant,2526486,Sandor,Innott,12/29/2022,China,A-10,6576,634,Air Force Achievement Medal
Sergeant,9463022,Vic,Jex,2/27/2023,Tanzania,F-35,5147,586,Air Force Commendation Medal
Private,6472145,Arlin,Grzegorzewicz,10/1/2022,China,F-22,8980,860,Air Force Achievement Medal
General,6830374,Manuel,Mannock,3/1/2023,Syria,F-18,2303,59,Air Force Commendation Medal
Lieutenant,4572398,Nollie,Goodliff,8/19/2022,Portugal,F-16,8045,239,Air Force Commendation Medal
Major,6052656,Phillis,Sephton,6/24/2022,Brazil,A-10,7437,881,Air Medal
Corporal,3672442,Goldia,Flippelli,11/19/2022,Poland,F-22,6523,601,Air Force Commendation Medal
Major,6697779,Avrit,Ambroisin,4/23/2022,China,F-18,8224,796,Air Force Commendation Medal
Lieutenant,7825203,Kristian,Trinke,12/21/2022,Bosnia and Herzegovina,F-22,2533,406,Air Force Commendation Medal
Captain,8215760,Dorice,Card,1/11/2023,Indonesia,F-22,5834,795,Air Medal
Captain,2688500,Vina,Pauel,4/1/2023,China,A-10,5075,100,Air Force Commendation Medal
Colonel,9014760,Penrod,Eisikowitz,3/29/2023,China,A-10,4277,37,Air Force Achievement Medal
Corporal,5078328,Alfonso,Berrill,8/6/2022,Brazil,F-16,7187,887,Distinguished Flying Cross
Colonel,9699160,Jonas,Beale,6/19/2022,Indonesia,F-16,3233,326,Air Force Commendation Medal
Corporal,1006474,Krishna,Tredgold,10/30/2022,Israel,F-16,443,383,Air Force Commendation Medal
Sergeant,3769307,Shay,De Meis,10/28/2022,Sweden,F-35,9815,343,Air Force Achievement Medal
Major,6046977,Harley,Gifkins,4/17/2022,Portugal,F-16,3275,74,Air Medal
Lieutenant,7081421,Bernita,Entwisle,6/9/2022,China,F-18,5856,353,Air Medal
Major,3912972,Vin,Hudel,8/29/2022,China,A-10,776,758,Distinguished Flying Cross
Corporal,7796703,Dorette,Sentinella,10/27/2022,Latvia,F-18,2879,599,Air Force Commendation Medal
Colonel,3552755,Ryon,Britcher,6/9/2022,Iran,F-35,1957,544,Air Medal
Lieutenant,6885730,Kellyann,Ezele,12/15/2022,Philippines,A-10,9912,904,Distinguished Flying Cross
Major,3870148,Brook,Rantoull,10/9/2022,Philippines,F-18,1821,478,Distinguished Flying Cross
Colonel,3096863,Lynda,Tomowicz,8/28/2022,Indonesia,A-10,8264,850,Air Medal
Colonel,8236894,Ariella,Gingell,2/16/2023,China,F-18,7975,900,Air Medal
Captain,4252568,Bee,Wetherick,12/7/2022,Philippines,F-22,6965,86,Air Medal
Lieutenant,9580272,Nerissa,Minster,10/31/2022,Philippines,F-18,4413,322,Air Force Achievement Medal
Lieutenant,3809223,Kellen,Acomb,1/9/2023,Portugal,A-10,8931,141,Distinguished Flying Cross
Private,4152718,Vitia,Margetson,12/14/2022,Indonesia,F-16,8606,386,Air Force Commendation Medal
Captain,9145867,Mellie,Neiland,2/18/2023,Philippines,F-22,8401,328,Air Force Commendation Medal
Private,5949223,Alwin,Whittek,10/28/2022,Colombia,A-10,505,201,Air Force Commendation Medal
Major,4074667,Lukas,Brecknell,8/5/2022,Sweden,F-35,7513,582,Distinguished Flying Cross
General,7950665,Heath,Keasley,3/1/2023,Russia,F-18,2446,750,Air Medal
General,6191250,Buck,O'Bruen,9/17/2022,Philippines,F-18,7781,662,Distinguished Flying Cross
Private,3355243,Linnea,Southouse,5/15/2022,Peru,A-10,9527,46,Distinguished Flying Cross
Private,6036100,Jordana,Stratford,6/25/2022,Canada,A-10,3526,469,Air Medal
Colonel,9388148,Caroline,Hugonin,6/20/2022,Canada,A-10,2233,832,Distinguished Flying Cross
Corporal,9868684,Tonie,Gresly,2/13/2023,Indonesia,A-10,5568,258,Air Force Achievement Medal
Lieutenant,5095396,Pancho,Couldwell,7/10/2022,Malawi,F-35,318,14,Air Force Commendation Medal
Lieutenant,6525777,Arvie,Brooker,6/22/2022,Peru,F-16,9582,265,Distinguished Flying Cross
Major,7983836,Lynea,Daniely,11/21/2022,China,F-16,7893,749,Air Force Commendation Medal
Colonel,3150112,Angus,Ahrend,8/2/2022,Cuba,F-35,1270,495,Air Force Achievement Medal
Colonel,5055180,Gwendolen,Tatchell,2/18/2023,Portugal,F-18,8792,936,Air Medal
Sergeant,6052836,Marty,Willson,7/6/2022,Colombia,F-22,1941,67,Distinguished Flying Cross
Private,8998746,Todd,Layton,1/2/2023,Indonesia,A-10,310,219,Air Force Achievement Medal
Private,2175068,Manya,Scadding,3/6/2023,Sierra Leone,F-16,2940,537,Air Force Achievement Medal
Sergeant,8552627,Aurelea,Pell,9/8/2022,Colombia,A-10,9654,447,Distinguished Flying Cross
Lieutenant,2180513,Alla,Donoghue,1/24/2023,Afghanistan,A-10,7616,61,Air Medal
Private,1088315,Gregor,Gatiss,5/17/2022,Bulgaria,F-16,1857,389,Air Medal
Private,3343923,Vlad,Dominy,10/14/2022,Philippines,F-22,9981,821,Air Medal
Lieutenant,6321938,Angelika,Nodin,6/20/2022,Greece,A-10,5945,871,Air Force Achievement Medal
Private,2784775,Aristotle,Chiverton,3/7/2023,Philippines,A-10,4888,162,Distinguished Flying Cross
Lieutenant,8850153,Padriac,Forsdike,10/17/2022,China,F-35,8951,864,Air Force Commendation Medal
General,6241658,Ellery,Griswaite,9/21/2022,China,F-18,8775,600,Air Medal
Private,4955054,Kylila,Gatty,10/1/2022,China,F-18,2148,892,Air Force Achievement Medal
Private,6257418,Dalston,MacKay,8/27/2022,Syria,A-10,4238,744,Air Force Commendation Medal
Sergeant,8874187,Gallagher,Arton,2/16/2023,Poland,F-22,4415,71,Air Force Commendation Medal
Major,3648181,Freddie,Vigneron,11/10/2022,China,F-22,1610,457,Air Force Commendation Medal
Sergeant,8593776,Bab,Bendall,8/1/2022,China,A-10,1739,472,Distinguished Flying Cross
General,8771943,Gaile,Capnor,2/16/2023,Indonesia,F-18,6721,912,Air Medal
General,9273789,Giacinta,Hitter,1/14/2023,Indonesia,F-18,4376,298,Distinguished Flying Cross
General,4487161,Pierre,Haney,1/18/2023,Russia,F-22,2183,556,Air Force Commendation Medal
Captain,5371363,Leda,Bullon,4/22/2022,China,F-18,4795,343,Air Force Achievement Medal
Corporal,6238278,Wenda,Scoggans,11/6/2022,Afghanistan,F-35,3829,933,Air Medal
Private,3210111,Carlynne,Chandlar,10/21/2022,Ukraine,F-35,8030,234,Air Force Achievement Medal
Captain,9308079,Rivi,Blitz,11/6/2022,U.S. Virgin Islands,F-18,6990,326,Distinguished Flying Cross
Major,9648838,Marissa,Tomaszek,9/20/2022,China,F-22,4056,828,Air Medal
Private,7002181,Riley,Gladbeck,8/20/2022,Ukraine,F-35,9519,870,Distinguished Flying Cross
Major,2288821,Ryley,Fremantle,3/15/2023,China,F-18,982,520,Distinguished Flying Cross
Corporal,7451822,Miranda,Igglesden,9/22/2022,Bulgaria,F-22,7094,476,Air Force Commendation Medal
Captain,6581505,Kimberlyn,Standall,8/6/2022,Norway,F-16,6364,529,Air Force Commendation Medal
Captain,9440402,Devan,Duggleby,12/28/2022,France,A-10,3694,491,Air Force Achievement Medal
Lieutenant,9980348,Robinia,Boick,8/25/2022,Portugal,F-16,8784,889,Air Medal
Private,3551598,Nata,Meneur,5/19/2022,Syria,F-16,6414,608,Air Medal
Sergeant,5519593,Madonna,Molines,6/6/2022,Mauritius,F-22,5467,958,Air Force Commendation Medal
Lieutenant,3049117,Lucita,Waszczyk,1/5/2023,Indonesia,F-22,6550,881,Air Force Commendation Medal
Sergeant,6939312,Rufus,Kuhnt,6/28/2022,Brazil,F-18,1382,559,Air Force Commendation Medal
Captain,4806558,Christean,Banasevich,3/13/2023,Indonesia,F-16,1438,415,Air Force Commendation Medal
Corporal,3592622,Bernette,Dowsing,9/15/2022,Indonesia,F-22,2929,56,Air Force Commendation Medal
Colonel,3744686,Pollyanna,Bitchener,7/28/2022,Bulgaria,A-10,7415,619,Air Force Achievement Medal
Private,9724017,Stephana,Butterworth,5/22/2022,Poland,F-16,5982,911,Air Force Achievement Medal
Corporal,1484615,Phillipp,Sedgmond,12/4/2022,Philippines,F-18,7649,524,Air Force Achievement Medal
Colonel,6341443,Kaye,Shorthouse,6/7/2022,Kyrgyzstan,F-16,2467,726,Air Force Achievement Medal
Major,4813337,Lisette,Poutress,1/12/2023,Tunisia,F-35,4583,281,Air Medal
Sergeant,1551119,Fina,Welch,2/12/2023,China,F-22,2483,609,Air Medal
Private,4736020,Margi,Bosse,4/25/2022,China,F-22,7015,305,Distinguished Flying Cross
Private,6864758,Vanna,Gilmour,6/9/2022,China,F-35,1111,150,Air Force Commendation Medal
Sergeant,9592028,Loralie,Scholcroft,8/18/2022,French Polynesia,F-22,2352,206,Air Force Achievement Medal
Private,3828236,Giffer,Feild,4/16/2022,China,F-18,2063,434,Air Force Achievement Medal
Colonel,9595130,Jakob,Kloser,1/18/2023,Brazil,F-18,3227,895,Air Force Commendation Medal
Colonel,7858744,Bradney,Bordman,1/11/2023,Japan,F-35,4276,181,Air Force Achievement Medal
Corporal,1244447,Anastassia,Bette,7/25/2022,Colombia,F-22,6833,151,Air Force Achievement Medal
Major,1469560,Karylin,Guyton,6/29/2022,Japan,F-35,9444,412,Air Medal
Major,5721759,Tremaine,Babar,1/28/2023,Brazil,F-35,4724,351,Air Force Achievement Medal
Corporal,7784157,Lamont,Hinge,12/2/2022,Latvia,F-35,7828,164,Air Force Commendation Medal
Colonel,8936903,Briny,Serotsky,9/23/2022,Tunisia,F-22,3836,405,Air Force Commendation Medal
Major,5694875,Mae,Boyan,3/23/2023,Indonesia,F-35,5639,763,Air Force Achievement Medal
Major,4318311,Blinnie,Whiteway,5/12/2022,China,F-16,561,834,Air Force Commendation Medal
Major,9256090,Consuelo,Forrestor,10/27/2022,Dominican Republic,F-18,8477,40,Distinguished Flying Cross
Lieutenant,2548909,Evita,Roussel,12/6/2022,United States,A-10,3362,503,Air Medal
Sergeant,6265608,Delmer,Giggie,4/23/2022,Poland,F-22,9308,546,Air Force Commendation Medal
Private,7261754,Ode,Adrain,5/21/2022,Russia,A-10,3631,743,Distinguished Flying Cross
Private,1774834,Morgan,Rumming,3/24/2023,Yemen,A-10,3855,36,Distinguished Flying Cross
Captain,4531851,Fredrick,Hodges,3/28/2023,China,F-18,2132,669,Air Medal
General,4413761,Sissy,Braney,10/20/2022,Sweden,F-18,9582,684,Air Medal
General,3172669,Ibrahim,Coombs,8/10/2022,Colombia,A-10,1809,374,Air Force Achievement Medal
Lieutenant,4439914,Kimberly,Love,7/3/2022,Japan,F-22,4937,978,Air Force Achievement Medal
Colonel,2775889,Micheil,Emmett,7/3/2022,China,F-35,9952,713,Distinguished Flying Cross
Major,9980457,Obie,Walkington,4/1/2023,Lithuania,F-16,1798,910,Air Force Commendation Medal
Private,2987915,Maia,Janata,12/1/2022,Spain,F-16,6798,646,Air Force Achievement Medal
General,4119233,Lonnie,Nuemann,3/1/2023,Indonesia,F-22,5414,113,Air Medal
Captain,2671716,Merissa,Warsap,2/15/2023,Finland,F-22,656,169,Air Medal
Private,4585559,Leora,Noquet,4/12/2022,China,F-18,6013,450,Air Force Commendation Medal
Colonel,4643796,Nerti,Batterton,3/23/2023,Portugal,A-10,4437,696,Air Force Achievement Medal
Private,2948472,Julieta,Lukovic,4/5/2023,France,A-10,8043,683,Air Medal
Lieutenant,3839068,Grier,McTiernan,12/26/2022,Poland,F-35,3060,398,Air Medal
Captain,7152539,Worth,Belz,7/30/2022,Mongolia,F-35,5928,874,Air Force Achievement Medal
Corporal,1241171,Claudie,Bearman,9/28/2022,Ecuador,F-18,3187,683,Air Force Achievement Medal
Private,4380558,Madelaine,Lorenzetto,7/15/2022,Niger,F-18,6387,198,Distinguished Flying Cross
General,4479580,Alaric,Clint,7/27/2022,Latvia,A-10,7784,332,Air Medal
Lieutenant,8346522,Trudie,Emsden,6/28/2022,China,A-10,67,203,Air Medal
Sergeant,7684689,Cobby,Treasure,4/7/2023,Russia,A-10,7755,634,Air Medal
Private,6095009,Vincent,Joscelin,9/10/2022,Russia,F-18,4396,263,Air Medal
Captain,1582043,Jayme,Lusher,4/19/2022,Indonesia,F-16,8451,376,Air Force Commendation Medal
Colonel,8071967,Bree,Pucknell,4/12/2022,China,F-22,9187,600,Air Medal
Corporal,9846670,Cristin,Crock,2/23/2023,Ukraine,F-18,6955,285,Air Force Achievement Medal
Captain,2823841,Loria,Dumbarton,6/20/2022,Portugal,F-35,9699,376,Air Force Commendation Medal
Private,4812311,Sampson,Bonsul,2/24/2023,Indonesia,A-10,393,265,Distinguished Flying Cross
Private,8707564,Allistir,Casaletto,2/26/2023,Mexico,A-10,5702,297,Air Force Achievement Medal
General,3553889,Alexei,Halle,2/8/2023,Kenya,F-18,7638,582,Air Force Achievement Medal
General,1260376,Ertha,Chazerand,1/18/2023,China,F-22,9166,353,Air Force Commendation Medal
Private,7972201,Gertruda,Aime,11/6/2022,Serbia,A-10,8254,985,Air Force Achievement Medal
Captain,2054966,Amabel,Mayes,7/1/2022,Malaysia,F-22,3470,669,Air Force Commendation Medal
General,3583522,Neville,Fallon,9/17/2022,Indonesia,A-10,435,781,Air Medal
General,8577228,Reinold,Innis,8/13/2022,China,A-10,8176,300,Distinguished Flying Cross
Private,2911052,Nels,Nozzolinii,3/25/2023,Brazil,A-10,3526,25,Air Force Commendation Medal
Major,1758566,Ginger,Molan,12/25/2022,Portugal,F-16,4272,700,Air Force Commendation Medal
Colonel,1733814,Rodie,Sloan,9/5/2022,Nigeria,F-18,7962,723,Air Force Commendation Medal
Major,3795948,Welbie,Sandercock,3/8/2023,China,F-18,131,538,Distinguished Flying Cross
Lieutenant,8502715,Dedra,Succamore,2/1/2023,Portugal,F-35,6715,582,Air Force Achievement Medal
Colonel,8985092,Ethelind,Seiler,5/17/2022,Israel,F-22,8984,432,Air Force Achievement Medal
Major,6703331,Charlot,Clulee,6/24/2022,Brazil,A-10,9849,947,Air Medal
Private,8780601,Gaylord,Van Hesteren,4/30/2022,Thailand,F-16,9617,260,Air Medal
General,8289125,Arlen,Finlan,10/21/2022,China,F-16,9960,773,Air Force Achievement Medal
Colonel,2100287,Dolores,Kharchinski,9/15/2022,Guatemala,F-35,7425,421,Air Force Commendation Medal
Captain,9779230,Zorina,Pourveer,1/1/2023,Poland,F-18,7747,72,Air Force Achievement Medal
General,7018395,Darell,Wiley,4/8/2023,Brazil,F-22,2678,737,Air Force Commendation Medal
Major,7959246,Daffie,Thrower,1/2/2023,Panama,F-16,2513,875,Air Force Commendation Medal
Lieutenant,6777255,Kata,Bateup,1/2/2023,Czech Republic,F-18,2198,486,Air Medal
Private,2594088,Cole,O'Dowd,2/16/2023,Croatia,F-22,8348,70,Air Force Achievement Medal
Major,6609859,Zelig,Spinke,10/3/2022,Philippines,A-10,326,642,Distinguished Flying Cross
Corporal,1721471,Daphne,Golby,9/25/2022,Czech Republic,A-10,3346,625,Air Force Achievement Medal
General,3561281,Abagail,Bustard,3/3/2023,Indonesia,F-35,6156,657,Air Force Achievement Medal
Corporal,3211479,Bernard,Pearn,5/24/2022,Russia,F-35,8320,906,Air Force Achievement Medal
Sergeant,8586528,Jamey,Binford,7/27/2022,Sweden,F-18,4416,635,Air Force Achievement Medal
Corporal,2971825,Fernanda,Killelea,4/23/2022,Philippines,F-16,959,418,Air Force Commendation Medal
Captain,2279985,Goldi,Ramsbotham,3/12/2023,Cuba,F-16,8318,847,Air Force Achievement Medal
General,4573776,Marilin,Mollitt,10/4/2022,Argentina,F-22,9667,792,Distinguished Flying Cross
Major,3191196,Shanie,Hoble,11/1/2022,Azerbaijan,F-22,4728,559,Distinguished Flying Cross
General,5195356,Roby,Hancill,1/9/2023,Czech Republic,F-22,3084,510,Air Force Commendation Medal
General,3084709,Zebadiah,Tullis,3/12/2023,China,A-10,7830,306,Air Force Achievement Medal
Private,7499802,Yule,Bosdet,8/10/2022,Philippines,A-10,3724,589,Air Force Commendation Medal
Lieutenant,2898385,Reinaldo,Petigrew,12/14/2022,Yemen,F-16,2081,244,Air Force Achievement Medal
Private,6571374,Gretta,Matias,2/21/2023,Indonesia,F-16,6566,795,Distinguished Flying Cross
Private,4190175,Dagmar,Rahlof,8/2/2022,Poland,A-10,9271,402,Air Force Commendation Medal
Private,7277873,Monica,Rumbelow,1/20/2023,Tunisia,F-22,2471,843,Air Force Achievement Medal
Private,2878207,Noland,Offener,9/18/2022,Brazil,F-16,9666,510,Air Medal
Corporal,7587260,Bianca,Chasson,6/27/2022,Philippines,F-16,7878,170,Air Medal
Captain,4872606,Reinhold,Rapier,5/31/2022,China,F-18,998,20,Air Force Achievement Medal
Lieutenant,5125696,Debbie,Blenkiron,4/8/2023,Indonesia,F-35,8453,981,Air Force Achievement Medal
Major,8052001,Brennen,Gegay,8/14/2022,Hungary,F-16,1593,464,Air Force Commendation Medal
Sergeant,8145370,Yolane,Felgate,4/10/2023,Philippines,A-10,4617,410,Air Force Commendation Medal
Colonel,1068667,Fulton,Harnes,7/8/2022,Indonesia,F-35,1313,888,Air Medal
Lieutenant,4721967,Valery,Andrzejowski,3/21/2023,China,F-35,8069,247,Air Medal
Sergeant,7917204,Desmund,Mervyn,8/6/2022,Indonesia,F-22,6093,812,Air Medal
Captain,6418545,Viviana,Burkin,6/7/2022,Portugal,F-35,6631,58,Distinguished Flying Cross
Corporal,6297071,Neale,Baugham,10/27/2022,Nigeria,F-22,5148,311,Air Force Commendation Medal
Major,9096140,Joeann,Sanham,10/5/2022,China,A-10,5780,450,Air Force Commendation Medal
Captain,5644046,Harold,Galle,10/4/2022,Netherlands,F-18,1920,701,Air Medal
Colonel,5071827,Charmaine,Vreiberg,9/25/2022,China,F-35,7811,388,Distinguished Flying Cross
Captain,8748053,Kayla,Leachman,5/6/2022,Czech Republic,F-16,602,276,Air Medal
Corporal,5580422,Kelli,Kynman,4/5/2023,Malawi,F-18,6261,346,Air Force Achievement Medal
General,6004863,Tracy,Cosh,2/5/2023,Armenia,F-22,3420,841,Distinguished Flying Cross
Corporal,7458149,Randolf,Iannello,12/21/2022,Russia,F-22,8369,97,Air Force Achievement Medal
Major,7754682,Clovis,Dettmar,5/24/2022,Mexico,A-10,4260,644,Distinguished Flying Cross
General,6224874,Shandee,Pawden,7/29/2022,Venezuela,F-22,3228,507,Air Force Achievement Medal
Major,4218510,Levon,Eton,10/2/2022,Norway,A-10,4797,209,Distinguished Flying Cross
Major,3038512,Mavis,Gurner,11/26/2022,Poland,A-10,7177,539,Air Force Commendation Medal
Private,6425981,Kristine,Rennebach,4/27/2022,United States,F-22,709,111,Air Force Commendation Medal
Private,3023441,Cynthy,Senecaut,2/8/2023,Poland,A-10,3547,535,Air Force Achievement Medal
General,7712108,Garvey,Bufton,1/3/2023,Ireland,F-35,9037,2,Distinguished Flying Cross
Private,9022695,Amby,Wilshere,9/23/2022,Ukraine,F-35,7519,675,Distinguished Flying Cross
Private,2411846,Jory,Ninnotti,1/10/2023,Finland,F-22,9911,814,Air Force Achievement Medal
Colonel,1564151,Harlin,Kubiczek,2/10/2023,China,A-10,4280,949,Air Force Achievement Medal
Colonel,5435114,Joe,Helliar,3/17/2023,Brazil,A-10,7594,335,Air Medal
Corporal,2370073,Jena,Philpin,6/8/2022,Poland,F-18,3557,716,Air Medal
Sergeant,7740591,Nissy,Necolds,6/15/2022,United States,F-18,713,995,Distinguished Flying Cross
General,5251281,Kerk,MacCallester,8/18/2022,Philippines,A-10,153,463,Distinguished Flying Cross
Lieutenant,8706504,Rock,Symes,1/1/2023,Russia,F-22,1810,235,Distinguished Flying Cross
Sergeant,1263173,Renado,Bangiard,8/23/2022,Republic of the Congo,A-10,8457,918,Distinguished Flying Cross
Captain,1709371,Deedee,Lavin,4/23/2022,Pakistan,F-35,1202,371,Air Medal
Colonel,7248929,Korney,Heustice,10/21/2022,Brazil,F-22,3694,677,Distinguished Flying Cross
Corporal,1415034,Joelie,Piechnik,4/24/2022,Indonesia,F-35,7528,179,Air Force Commendation Medal
Colonel,4038621,Chic,Dumigan,3/15/2023,Argentina,F-16,1378,914,Air Medal
Lieutenant,3312405,Ealasaid,Labrom,5/8/2022,China,F-35,3686,583,Air Force Commendation Medal
General,5634662,Caty,McSharry,1/4/2023,Sweden,F-16,230,127,Air Force Achievement Medal
Private,7612567,Coral,Hintze,10/21/2022,Greece,F-22,8708,799,Air Medal
Private,1672437,Scottie,Brunton,6/15/2022,Dominican Republic,F-35,598,550,Air Force Commendation Medal
Corporal,7714959,Genevieve,Sanchiz,1/18/2023,Sweden,A-10,9239,902,Air Medal
Lieutenant,8791102,Mercy,Swinburn,6/4/2022,United States,A-10,4382,141,Air Force Commendation Medal
Private,1840354,Micheline,Leupold,1/17/2023,China,A-10,5420,364,Air Force Commendation Medal
Lieutenant,1162459,Rogers,De Ath,8/11/2022,Sweden,F-16,5555,551,Air Medal
Private,8890620,Marya,Amery,10/6/2022,Kenya,F-16,6398,447,Air Force Commendation Medal
Colonel,9673712,Annetta,Kaufman,6/12/2022,Lesotho,F-22,6642,299,Distinguished Flying Cross
Corporal,3169408,Woodman,Southcombe,6/23/2022,Japan,F-16,9645,1,Air Force Achievement Medal
Captain,5305654,Giuditta,Taffs,9/24/2022,Palestinian Territory,F-35,5126,131,Air Force Achievement Medal
Private,5106859,Tawnya,Chataignier,5/16/2022,China,A-10,3507,303,Distinguished Flying Cross
Corporal,2507101,Stefan,Pywell,4/12/2022,China,F-16,359,373,Air Medal
Major,7458785,Aura,Ludewig,10/12/2022,United States,F-22,2366,265,Air Force Achievement Medal
Major,8787140,Dane,Twallin,5/16/2022,Bangladesh,F-35,91,739,Air Force Commendation Medal
Sergeant,8483040,Celina,Dinnington,11/3/2022,China,F-22,755,465,Air Force Achievement Medal
Private,4577308,Lianna,Maclean,7/17/2022,Germany,F-16,9440,61,Air Force Achievement Medal
Major,5341698,Esmeralda,Robertsen,4/8/2023,United States,F-16,9185,665,Air Force Commendation Medal
Corporal,5475677,Clemente,Beden,9/8/2022,Cuba,A-10,7488,585,Air Medal
Colonel,5873253,Thedric,Aliman,12/3/2022,France,F-22,2885,310,Air Force Achievement Medal
Private,1571413,Sutherlan,MacGiany,2/8/2023,Iran,A-10,532,152,Air Force Commendation Medal
Sergeant,6146306,Catriona,Mc Curlye,10/17/2022,Indonesia,F-18,1926,995,Air Force Commendation Medal
Colonel,3262651,Olga,Stoak,10/6/2022,Czech Republic,F-35,6952,81,Air Medal
General,9652913,Thalia,Peret,5/22/2022,Philippines,F-18,2613,122,Air Force Commendation Medal
Private,1031078,Ruthann,Rubinchik,5/13/2022,Canada,F-35,6764,410,Air Force Commendation Medal
Corporal,9538955,Preston,Dell Casa,9/14/2022,China,F-35,7622,184,Air Medal
Colonel,1826063,Torey,McMeeking,2/10/2023,China,F-16,8755,936,Air Medal
Lieutenant,4867035,Eugene,Cesaric,5/28/2022,Armenia,F-35,4559,631,Air Medal
General,7212057,Whitman,Zoren,10/24/2022,Egypt,F-22,377,534,Air Force Achievement Medal
Lieutenant,7371833,Delmar,Brookson,12/30/2022,Panama,F-22,7356,163,Air Force Commendation Medal
Corporal,6564337,Lazaro,Aird,5/9/2022,China,F-16,4365,199,Air Force Commendation Medal
Major,5547301,Elsy,Lantoph,11/2/2022,Portugal,F-18,644,465,Distinguished Flying Cross
Major,6839133,Carlin,Tring,2/24/2023,Brazil,F-35,7307,394,Distinguished Flying Cross
Sergeant,7633890,Teodoor,Verman,5/11/2022,Poland,F-18,4291,909,Distinguished Flying Cross
Colonel,6934525,Perceval,Ioselevich,10/7/2022,Philippines,F-16,7879,688,Air Force Achievement Medal
Colonel,5497525,Lotty,Mullord,6/12/2022,Albania,F-18,4003,456,Air Force Commendation Medal
Major,6087264,Leoline,Jope,8/28/2022,China,F-16,8064,174,Air Force Commendation Medal
Corporal,9128158,Bobette,Lindenman,2/22/2023,Mauritius,F-16,4143,920,Air Force Achievement Medal
Colonel,4518901,Claudetta,Ashness,5/10/2022,France,F-22,1317,872,Distinguished Flying Cross
Colonel,6794629,Christalle,Lope,1/12/2023,Nicaragua,F-35,7939,935,Distinguished Flying Cross
Private,7876380,Jessa,Stigell,7/17/2022,Indonesia,F-35,3863,121,Air Force Commendation Medal
Captain,9432229,Simon,Crownshaw,2/9/2023,Indonesia,F-22,1548,240,Air Medal
Lieutenant,3614285,Elke,Cunnah,3/23/2023,Thailand,F-22,1207,17,Air Force Achievement Medal
Corporal,1322157,Essie,Latehouse,11/1/2022,Ukraine,A-10,5281,173,Air Force Achievement Medal
Captain,1886960,Vernor,Le Friec,6/21/2022,China,F-16,8496,878,Air Force Commendation Medal
General,7365436,Davidde,Nilges,2/21/2023,Bolivia,F-22,9428,691,Air Force Commendation Medal
Colonel,7513621,Edith,McConnel,9/12/2022,Peru,A-10,785,376,Air Force Achievement Medal
Sergeant,4353549,Diarmid,Marczyk,6/28/2022,Namibia,F-16,7785,664,Air Force Achievement Medal
